ID,cc_cons
17591,9.578926791072714
13541,9.747868745851697
13431,9.611345158818212
8687,9.622005201739873
14727,9.598206487284195
14988,9.628491253565159
14859,9.694662545639874
16636,9.68003939703845
7625,9.716114236702802
16492,9.731234924818276
13674,9.633546363365184
11981,9.606635723312385
5185,9.673893414636547
15288,9.628921378608664
18526,9.635141241997207
16760,9.590633005969366
10805,9.742257939087406
8830,9.588963095940883
8926,9.66677464059716
10974,9.750058921943895
2155,9.70768236507637
17251,9.711352210674164
12154,9.661280983447178
12227,9.645237343163243
19961,9.673058274474302
13866,9.598378965923247
17498,9.604358530810408
7241,9.66542969548992
414,9.659019909528876
206,9.576012425407392
7420,9.62318258301784
4601,9.638631807740557
2768,9.602105761991576
8120,9.652674481876549
18584,9.578064608108098
16697,9.75434524733507
16238,9.76823897695847
3772,9.75152642233684
3462,9.743679432236252
710,9.638923433155272
558,9.551277741841787
1244,9.664761602412824
1302,9.654178775169608
547,9.622519630934875
19129,9.641429284235574
237,9.633365353136131
11122,9.648268006119695
4438,9.653167788370714
18371,9.672691578038457
6401,9.730770936965113
13770,9.621641840360471
18317,9.63066659641224
19226,9.651295784949191
4126,9.566320526676282
11313,9.630381992992291
3925,9.768366996836686
15973,9.602907606968955
12281,9.765391053110408
353,9.688752419986413
907,9.673166178208088
1711,9.651504613479592
9617,9.631594706584357
12928,9.799525735796003
3523,9.753585900849389
18838,9.612167260555728
17609,9.612877411648304
306,9.537396891250836
14812,9.621791107495854
1551,9.57644704525739
16640,9.772063010470449
13546,9.674260797098684
4968,9.66442828080202
13371,9.68203194107801
3981,9.742390288441088
11568,9.758353761907777
5662,9.669657505719288
19586,9.696401106397927
14489,9.72891469955718
14153,9.650561287341262
7626,9.60584695317189
3085,9.573792255026607
14821,9.606383567575191
9815,9.670841460020881
6506,9.515200592007703
6176,9.614631993831857
13040,9.542294789405046
1325,9.588709322677346
330,9.725223522925598
2389,9.565478019561157
10391,9.608343316337482
1019,9.6339506309269
4338,9.716272481344534
19849,9.725518711894615
13667,9.670844973984021
12709,9.680746289349624
12701,9.672094190616118
18563,9.540721024199843
19665,9.763890719006366
5251,9.649304508978114
6671,9.625704358095648
15887,9.634610541403273
544,9.547700927424613
13494,9.624315732087403
4304,9.669311391767298
12181,9.65586903614733
15041,9.613965709549294
14167,9.64427019301365
4659,9.70966344951938
1820,9.756568889800405
6317,9.601397440826126
313,9.591874815663552
12467,9.586113161159009
13452,9.69436612124839
3464,9.631288847144173
4890,9.609722858614987
11567,9.625493054521767
17396,9.534641877502763
13188,9.606808691635232
15605,9.612999570857724
7577,9.634662193475801
8160,9.492585902292076
1429,9.583634013914041
14928,9.665594125156943
3349,9.729809365444659
799,9.696518957390648
12678,9.643713867445614
19053,9.652449330036582
15806,9.685142026982616
2854,9.559726491634809
4144,9.59842299186213
16232,9.656975314394147
10365,9.578122726621547
4202,9.61958513673928
9671,9.599755710821922
6615,9.64380192224722
12050,9.59533640853228
13998,9.577175469417027
7406,9.628795807967794
12497,9.731710240591843
4662,9.703297728473734
3661,9.569127731201478
17436,9.705903917231065
2332,9.729167705000165
16771,9.650819116421703
17110,9.703985045131175
15967,9.670230438053757
5758,9.654039385139598
2882,9.547911966930327
10774,9.736698055066753
7750,9.712302786326164
16516,9.582008178955537
3670,9.578827571531889
15883,9.612077898453814
2947,9.668488256708137
13476,9.704753615157678
13301,9.723775482003537
6468,9.554120259253448
15135,9.727454715098196
16278,9.677852577402756
12114,9.560749614047934
3839,9.731687721230246
2886,9.640959971217935
11928,9.706430455856337
15155,9.684342712697555
4316,9.608121587227496
7299,9.62099019164435
1306,9.678750592502961
19221,9.710599478776231
7039,9.648071905213225
11499,9.59837741784846
1312,9.60113509673182
2124,9.644666465646708
1907,9.636314729847182
16979,9.604737160252093
6629,9.684287132692077
5295,9.614288363530259
11961,9.720171887559271
11653,9.756313253756842
2822,9.63428735958558
9335,9.68973116060878
742,9.611828186024509
8080,9.660220305671032
12707,9.621852446726258
3559,9.590683480047831
4455,9.72372042531579
16907,9.597401238453413
6453,9.669384741894028
1108,9.549382011855698
280,9.567083504717576
16566,9.535029410536898
17535,9.69396723405271
15464,9.743687751153805
936,9.728287397240953
17214,9.611100219090162
6182,9.719703884416804
14305,9.677220778779448
11840,9.635415149596902
7534,9.67748105246886
3025,9.682203527749737
6393,9.651449922447771
13441,9.688478118557047
18252,9.62091096409714
11194,9.67657998550348
15711,9.638536977512013
5219,9.568993538563412
